Row,Col,D_Base,D_Med,D_MedT,D_Tip,S_Total,S_Prox,S_Dist,M_Total,M_Prox,M_Dist,Slope_R,Slope_D,Ratio_R,DatasetID,RatNum,Strain,Sex,Side,,Legend:,,,,,,,,,
4,5,0.085,NaN,NaN,NaN,11.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
4,0,0.168,NaN,NaN,NaN,48.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,1,0.172,NaN,NaN,NaN,41.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,2,0.111,NaN,NaN,NaN,32.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,3,0.161,NaN,NaN,NaN,37.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,4,0.124,NaN,NaN,NaN,25.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,5,0.107,NaN,NaN,NaN,20.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,6,0.108,NaN,NaN,NaN,16.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
3,0,0.152,NaN,NaN,NaN,44.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
1,1,0.067,NaN,NaN,NaN,30.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
1,2,0.091,NaN,NaN,NaN,33.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
1,3,0.100,NaN,NaN,NaN,28.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
1,4,0.063,NaN,NaN,NaN,17.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
1,0,0.112,NaN,NaN,NaN,39.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
2,1,0.140,NaN,NaN,NaN,42.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
2,2,0.092,NaN,NaN,NaN,28.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
2,3,0.094,NaN,NaN,NaN,21.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
2,4,0.064,NaN,NaN,NaN,11.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
2,0,0.123,NaN,NaN,NaN,45.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
3,1,0.160,NaN,NaN,NaN,42.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
3,2,0.149,NaN,NaN,NaN,33.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
3,3,0.121,NaN,NaN,NaN,22.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
3,4,0.089,NaN,NaN,NaN,12.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
3,5,0.053,NaN,NaN,NaN,7.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
4,1,0.166,NaN,NaN,NaN,44.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
4,2,0.155,NaN,NaN,NaN,36.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
4,3,0.145,NaN,NaN,NaN,26.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
4,4,0.104,NaN,NaN,NaN,14.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
4,5,0.082,NaN,NaN,NaN,8.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
4,0,0.175,NaN,NaN,NaN,51.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,1,0.172,NaN,NaN,NaN,46.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,2,0.173,NaN,NaN,NaN,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,3,0.140,NaN,NaN,NaN,25.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,4,0.095,NaN,NaN,NaN,17.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,5,0.107,NaN,NaN,NaN,15.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,6,0.081,NaN,NaN,NaN,6.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
3,0,0.174,NaN,NaN,NaN,46.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,2,1,NaN,,,,,,,,,,,
5,1,0.188,NaN,NaN,NaN,47.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
5,5,0.084,NaN,NaN,NaN,8.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
5,2,0.163,NaN,NaN,NaN,33.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
5,4,0.128,NaN,NaN,NaN,16.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
1,4,0.057,NaN,NaN,NaN,11.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
1,3,0.086,NaN,NaN,NaN,19.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
1,2,0.104,NaN,NaN,NaN,27.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
1,1,0.130,NaN,NaN,NaN,41.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
5,3,0.153,NaN,NaN,NaN,25.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
2,4,0.073,NaN,NaN,NaN,12.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
2,3,0.105,NaN,NaN,NaN,23.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
1,0,0.137,NaN,NaN,NaN,47.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
2,2,0.136,NaN,NaN,NaN,35.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
3,0,0.170,NaN,NaN,NaN,53.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
3,1,0.166,NaN,NaN,NaN,46.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
3,2,0.147,NaN,NaN,NaN,35.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
3,3,0.122,NaN,NaN,NaN,23.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
3,4,0.084,NaN,NaN,NaN,14.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
3,5,0.064,NaN,NaN,NaN,7.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
2,0,0.143,NaN,NaN,NaN,50.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
4,1,0.177,NaN,NaN,NaN,47.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
5,5,0.069,NaN,NaN,NaN,10.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
2,1,0.150,NaN,NaN,NaN,46.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
5,1,0.181,NaN,NaN,NaN,47.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
4,2,0.153,NaN,NaN,NaN,37.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
5,2,0.172,NaN,NaN,NaN,33.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
5,6,0.060,NaN,NaN,NaN,7.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
5,3,0.145,NaN,NaN,NaN,25.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
4,0,0.193,NaN,NaN,NaN,55.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
4,2,0.168,NaN,NaN,NaN,37.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
5,4,0.120,NaN,NaN,NaN,16.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
4,1,0.175,NaN,NaN,NaN,47.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
4,0,0.193,NaN,NaN,NaN,55.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
4,7,0.054,NaN,NaN,NaN,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
5,7,0.065,NaN,NaN,NaN,5.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
4,6,0.064,NaN,NaN,NaN,8.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
5,8,0.049,NaN,NaN,NaN,4.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
4,4,0.118,NaN,NaN,NaN,19.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
4,5,0.076,NaN,NaN,NaN,12.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
4,3,0.147,NaN,NaN,NaN,28.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
1,2,0.117,NaN,NaN,NaN,31.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
1,1,0.132,NaN,NaN,NaN,40.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
4,3,0.145,NaN,NaN,NaN,27.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,1,,,,,,,,,,,
4,4,0.115,NaN,NaN,NaN,18.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
4,6,0.068,NaN,NaN,NaN,8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
5,6,0.076,NaN,NaN,NaN,7.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
5,8,0.042,NaN,NaN,NaN,4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
3,2,0.126,NaN,NaN,NaN,30.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
1,0,0.142,NaN,NaN,NaN,46.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
2,4,0.069,NaN,NaN,NaN,5.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
2,3,0.102,NaN,NaN,NaN,23.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
2,2,0.131,NaN,NaN,NaN,35.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
2,1,0.133,NaN,NaN,NaN,45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
2,0,0.147,NaN,NaN,NaN,49.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
3,0,0.165,NaN,NaN,NaN,54.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
1,4,0.062,NaN,NaN,NaN,10.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
1,3,0.085,NaN,NaN,NaN,19.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
3,1,0.166,NaN,NaN,NaN,46.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
3,5,0.065,NaN,NaN,NaN,7.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
3,4,0.082,NaN,NaN,NaN,14.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
5,7,0.055,NaN,NaN,NaN,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
3,3,0.116,NaN,NaN,NaN,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,2,1,0,,,,,,,,,,,
1,1,0.108,NaN,NaN,NaN,22.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
1,2,0.082,NaN,NaN,NaN,23.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
1,3,0.076,NaN,NaN,NaN,16.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
1,0,0.128,NaN,NaN,NaN,42.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
2,1,0.135,NaN,NaN,NaN,41.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
2,2,0.116,NaN,NaN,NaN,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
2,3,0.093,NaN,NaN,NaN,19.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
2,4,0.064,NaN,NaN,NaN,10.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
2,0,0.134,NaN,NaN,NaN,46.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
3,1,0.156,NaN,NaN,NaN,43.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
3,2,0.136,NaN,NaN,NaN,32.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
3,3,0.119,NaN,NaN,NaN,22.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
3,4,0.080,NaN,NaN,NaN,14.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
3,5,0.066,NaN,NaN,NaN,7.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
4,1,0.158,NaN,NaN,NaN,43.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
4,2,0.149,NaN,NaN,NaN,33.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
4,3,0.134,NaN,NaN,NaN,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
4,4,0.090,NaN,NaN,NaN,16.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
4,5,0.082,NaN,NaN,NaN,10.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
4,6,0.065,NaN,NaN,NaN,6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
4,7,0.054,NaN,NaN,NaN,4.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
4,0,0.179,NaN,NaN,NaN,52.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
5,1,0.167,NaN,NaN,NaN,42.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
5,2,0.142,NaN,NaN,NaN,28.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
5,3,0.140,NaN,NaN,NaN,22.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
5,4,0.100,NaN,NaN,NaN,15.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
5,5,0.079,NaN,NaN,NaN,8.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
5,6,0.065,NaN,NaN,NaN,6.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
5,7,0.050,NaN,NaN,NaN,4.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
3,0,0.164,NaN,NaN,NaN,41.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,0,,,,,,,,,,,
1,1,0.107,NaN,NaN,NaN,36.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,,,,,,,
1,2,0.099,NaN,NaN,NaN,27.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,,,,,,,
1,3,0.084,NaN,NaN,NaN,19.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,,,,,,,
1,4,0.048,NaN,NaN,NaN,10.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,,,,,,,
1,0,0.117,NaN,NaN,NaN,43.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,,,,,,,
2,1,0.134,NaN,NaN,NaN,42.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,,,,,,,
2,2,0.118,NaN,NaN,NaN,30.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,,,,,,,
2,3,0.092,NaN,NaN,NaN,19.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,,,,,,,
2,4,0.065,NaN,NaN,NaN,10.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,,,,,,,
